Bug ID,Test Case ID,Bug Title,Module,Severity,Priority,Environment,Steps to Reproduce,Expected Result,Actual Result,Status,Reported By
BUG-001,TC-CAT-02,Bamboo Desk Organizer appears under Electronics category,Catalog,Major,High,Chrome / Live Render,"1. Open Catalog 2. Filter by Electronics",Only Electronics items appear,Product #6 (Bamboo Desk Organizer from Home & Living) appears in Electronics,Open,Mehul
BUG-002,TC-CAT-03,Price sorting sorts alphabetically instead of numerically,Catalog,Major,High,Chrome / Live Render,"1. Open Catalog 2. Sort by Price: Low to High",$16 -> $18.50 -> $19.99 -> $110,Items sorted as strings ($110 appears before $18.50),Open,Mehul
BUG-003,TC-AUTH-04,Confirm password field accepts partial prefix matches,Authentication,Critical,High,Chrome / Live Render,"1. Go to Register 2. Password: Secret123 3. Confirm: Secret 4. Submit",Form rejects mismatched passwords,Registration succeeds with partial confirm password,Open,Mehul
BUG-004,TC-CART-02,Cart allows zero and negative quantities via minus button and text input,Cart,Critical,High,Chrome / Live Render,"1. Add item to cart 2. Click '-' at quantity 1",Item removed or stays at 1,Quantity becomes 0 and -1 reducing order subtotal to negative,Open,Mehul
BUG-005,TC-DET-01,Quantity counter on Product Detail page exceeds maximum in-stock inventory,Product Detail,Major,Medium,Chrome / Live Render,"1. Open Apex SoundBar (stock 8) 2. Click '+' past 8 3. Add to cart",'+' button disables at stock limit (8),Allows adding 50+ units beyond available inventory,Open,Mehul
BUG-006,TC-CHK-02,Checkout phone number field accepts non-numeric alphabet characters,Checkout,Major,Medium,Chrome / Live Render,"1. Proceed to checkout 2. Enter letters 'abcdef' in Phone 3. Submit",Validation error 'Please enter a valid numeric phone number',Order passes without phone validation,Open,Mehul
BUG-007,TC-CHK-04,Checkout allows submitting UPI payment with empty UPI ID,Checkout,Major,High,Chrome / Live Render,"1. Checkout 2. Select UPI 3. Leave UPI ID blank 4. Place Order",Form requires UPI ID before placing order,Order completes successfully with empty UPI ID,Open,Mehul
BUG-008,TC-ADM-01,Admin new product creation truncates decimal prices,Admin,Major,Medium,Chrome / Live Render,"1. Admin Dashboard 2. Add product with price 24.99 3. Save",Product saved with price $24.99,Price saved as $24.00 (decimal precision loss),Open,Mehul
BUG-009,TC-ADM-02,Admin product search filter is case-sensitive,Admin,Minor,Low,Chrome / Live Render,"1. Admin Dashboard 2. Search 'headphones' in lowercase",Finds Aura Headphones,Returns 0 products because search is case-sensitive,Open,Mehul
BUG-010,TC-ADM-03,Total Recorded Users count shows off-by-one discrepancy in Admin Users tab,Admin,Minor,Low,Chrome / Live Render,"1. Admin Dashboard 2. Open Users tab 3. Compare count with rows",Header shows 2 users (matching table),Header displays 'Total Recorded Users: 3' when only 2 users exist,Open,Mehul
